game_number,team,date,day_of_week,month,week_end,school_in_out,days_since_last_game,opening_day,promotion,ticket_sales,season
15,LAA,2024-04-16,Tue,Apr,FALSE,FALSE,1,FALSE,none,42701,2024
16,BAL,2024-04-23,Tue,Apr,FALSE,FALSE,7,FALSE,none,38983,2024
17,BAL,2024-04-24,Wed,Apr,FALSE,FALSE,1,FALSE,none,31691,2024
18,BAL,2024-04-25,Thu,Apr,FALSE,FALSE,1,FALSE,bobblehead,44480,2024
19,BAL,2024-05-05,Sun,May,FALSE,FALSE,10,FALSE,none,38480,2024
20,BAL,2024-05-06,Mon,May,FALSE,FALSE,1,FALSE,none,29722,2024
21,BAL,2024-05-07,Tue,May,FALSE,FALSE,1,FALSE,other,34893,2024
22,CWS,2024-05-08,Wed,May,FALSE,FALSE,1,FALSE,none,33110,2024
23,CWS,2024-05-09,Thu,May,FALSE,FALSE,1,FALSE,none,32648,2024
24,CWS,2024-05-10,Fri,May,TRUE,FALSE,1,FALSE,bobblehead,45000,2024
25,CLE,2024-05-20,Mon,May,FALSE,FALSE,10,FALSE,none,38683,2024
26,CLE,2024-05-21,Tue,May,FALSE,FALSE,1,FALSE,none,28301,2024
27,CLE,2024-05-22,Wed,May,FALSE,FALSE,1,FALSE,none,30926,2024
28,ATL,2024-06-01,Sat,Jun,TRUE,TRUE,10,FALSE,none,45000,2024
29,ATL,2024-06-02,Sun,Jun,FALSE,TRUE,1,FALSE,none,37246,2024
30,ATL,2024-06-03,Mon,Jun,FALSE,TRUE,1,FALSE,none,41354,2024
31,CWS,2024-06-04,Tue,Jun,FALSE,TRUE,1,FALSE,none,39648,2024
32,CWS,2024-06-05,Wed,Jun,FALSE,TRUE,1,FALSE,none,41792,2024
33,CWS,2024-06-06,Thu,Jun,FALSE,TRUE,1,FALSE,none,43726,2024
34,TEX,2024-06-16,Sun,Jun,FALSE,TRUE,10,FALSE,none,45000,2024
35,TEX,2024-06-17,Mon,Jun,FALSE,TRUE,1,FALSE,none,42059,2024
36,TEX,2024-06-18,Tue,Jun,FALSE,TRUE,1,FALSE,none,42455,2024
37,TEX,2024-06-19,Wed,Jun,FALSE,TRUE,1,FALSE,none,35267,2024
38,TEX,2024-06-20,Thu,Jun,FALSE,TRUE,1,FALSE,none,45000,2024
39,TEX,2024-06-21,Fri,Jun,TRUE,TRUE,1,FALSE,none,45000,2024
40,TB,2024-07-01,Mon,Jul,FALSE,TRUE,10,FALSE,none,41801,2024
41,TB,2024-07-02,Tue,Jul,FALSE,TRUE,1,FALSE,bobblehead,45000,2024
42,TB,2024-07-03,Wed,Jul,FALSE,TRUE,1,FALSE,none,35539,2024
43,TB,2024-07-04,Thu,Jul,FALSE,TRUE,1,FALSE,other,32576,2024
44,TB,2024-07-05,Fri,Jul,TRUE,TRUE,1,FALSE,none,45000,2024
45,TB,2024-07-06,Sat,Jul,TRUE,TRUE,1,FALSE,other,45000,2024
46,ATL,2024-07-13,Sat,Jul,TRUE,TRUE,7,FALSE,bobblehead,45000,2024
47,ATL,2024-07-14,Sun,Jul,FALSE,TRUE,1,FALSE,none,38070,2024
48,ATL,2024-07-15,Mon,Jul,FALSE,TRUE,1,FALSE,none,40673,2024
49,ATL,2024-07-16,Tue,Jul,FALSE,TRUE,1,FALSE,none,41032,2024
50,ATL,2024-07-17,Wed,Jul,FALSE,TRUE,1,FALSE,none,40369,2024
51,ATL,2024-07-18,Thu,Jul,FALSE,TRUE,1,FALSE,none,45000,2024
52,DET,2024-07-25,Thu,Jul,FALSE,TRUE,7,FALSE,none,42863,2024
53,DET,2024-07-26,Fri,Jul,TRUE,TRUE,1,FALSE,none,45000,2024
54,DET,2024-07-27,Sat,Jul,TRUE,TRUE,1,FALSE,none,45000,2024
55,TEX,2024-07-28,Sun,Jul,FALSE,TRUE,1,FALSE,none,40478,2024
56,TEX,2024-07-29,Mon,Jul,FALSE,TRUE,1,FALSE,bobblehead,45000,2024
57,TEX,2024-07-30,Tue,Jul,FALSE,TRUE,1,FALSE,none,35322,2024
58,CLE,2024-08-09,Fri,Aug,TRUE,FALSE,10,FALSE,none,45000,2024
59,CLE,2024-08-10,Sat,Aug,TRUE,FALSE,1,FALSE,concert,45000,2024
60,CLE,2024-08-11,Sun,Aug,FALSE,FALSE,1,FALSE,none,37557,2024
61,CLE,2024-08-12,Mon,Aug,FALSE,FALSE,1,FALSE,none,35430,2024
62,CLE,2024-08-13,Tue,Aug,FALSE,FALSE,1,FALSE,none,30625,2024
63,CLE,2024-08-14,Wed,Aug,FALSE,FALSE,1,FALSE,none,31906,2024
64,NYM,2024-08-24,Sat,Aug,TRUE,FALSE,10,FALSE,none,45000,2024
65,NYM,2024-08-25,Sun,Aug,FALSE,FALSE,1,FALSE,none,35709,2024
66,NYM,2024-08-26,Mon,Aug,FALSE,FALSE,1,FALSE,bobblehead,45000,2024
67,NYM,2024-08-29,Thu,Aug,FALSE,FALSE,3,FALSE,none,42618,2024
68,NYM,2024-08-30,Fri,Aug,TRUE,FALSE,1,FALSE,other,45000,2024
69,NYM,2024-08-31,Sat,Aug,TRUE,FALSE,1,FALSE,none,45000,2024
70,HOU,2024-09-10,Tue,Sep,FALSE,FALSE,10,FALSE,none,43430,2024
71,HOU,2024-09-11,Wed,Sep,FALSE,FALSE,1,FALSE,none,35795,2024
72,HOU,2024-09-12,Thu,Sep,FALSE,FALSE,1,FALSE,none,41025,2024
73,COL,2024-09-13,Fri,Sep,TRUE,FALSE,1,FALSE,bobblehead,45000,2024
74,COL,2024-09-14,Sat,Sep,TRUE,FALSE,1,FALSE,other,45000,2024
75,COL,2024-09-15,Sun,Sep,FALSE,FALSE,1,FALSE,none,32111,2024
76,FLA,2024-09-22,Sun,Sep,FALSE,FALSE,7,FALSE,none,36060,2024
77,FLA,2024-09-23,Mon,Sep,FALSE,FALSE,1,FALSE,none,33711,2024
78,FLA,2024-09-24,Tue,Sep,FALSE,FALSE,1,FALSE,none,35134,2024
79,LAA,2024-10-04,Fri,Oct,TRUE,FALSE,10,FALSE,bobblehead,45000,2024
80,LAA,2024-10-05,Sat,Oct,TRUE,FALSE,1,FALSE,none,45000,2024
81,LAA,2024-10-06,Sun,Oct,FALSE,FALSE,1,FALSE,concert,44542,2024
